Date Captured,Date analyzed,Tag #,Content (Species),Content (number of individuals),Total Mass of Content,Comments,
26/01/2013,8-11-2013,180,HAP,2,4.5703,"could also be 26/07/2013, but probably 26/01/2013; pharyngeal jaws, HAP body shape, fins and ctenoid scales",
26/01/2013,8-11-2013,180,CIC,1,1.3485,"pharyngeal jaws, but no scales, few fins and little body shape",
14/12/2012,8-11-2013,78,CIC,1,19.2273,"very large; pharyngeal jaws, no clear scales, body shape unclear",
14/12/2012,8-11-2013,78,UNID,1,1.0186,"no pharyngeal jaws, no fins, no scales, no body shape",
14/12/2012,8-11-2013,71,UNID,1,1.116,no pharyngeal jaws fish head with a little bit of body,
29/11/2012,8-11-2013,60,CIC,1,3.9109,"pharyngeal jaws, looks like HAP, but not enough body shape to be sure",
22/11/2012,8-11-2013,4,CIC,1,0.7402,"pharyngeal jaws, very little actual body shape",
25/01/2013,8-11-2013,200,UNID,1,0.0475,small fish with not much body shape; flesh & bones; no pharyngeal jaws,
25/01/2013,8-11-2013,200,DIP,many,0.1712,at least 2 species (white and small; green and larger),noteworthy
17/12/2012,8-11-2013,92,RAS,2,2.4676,"black line, body shape, dorsal and anal fin are aligned, no pharyngeal jaws",
14/12/2012,8-11-2013,76,RAS,1,1.1193,"black line, body shape looks like RAS, but no fins to confirm; no pharyngeal jaws; later: confirmed to be RAS by Lauren",
18/11/2012,8-11-2013,1155,CIC,1,0.5986,"pharyngeal jaws, no fins, no body shape",
18/11/2012,8-11-2013,1155,MF,1,0.0216,incomplete body,
18/11/2012,8-11-2013,1155,DIP,1,0.0119,,
28/09/2012,13/11/2013,999,UNID,1,0.9879,just a mass of flesh and bone,
28/09/2012,13/11/2013,999,VEG,NA,0.3032,,
29/11/2012,13/11/2013,59,HAP,2,1.2936,"pharyngeal jaws, body shape, fins, ctenoid scales",
29/11/2012,13/11/2013,59,CIC,1,0.1997,"pharyngeal jaws, not much body shape, no fins, nor scales",
22/11/2012,13/11/2013,14,NP,1,3.4708,"no pharyngeal jaws, huge spikes on the dorsal fin, body shape",
28/11/2012,13/11/2013,44,CIC,1,0.3162,"pharyngeal jaws, no body (just head), no scales",
25/01/2013,13/11/2013,179,UNID,2,1.3029,"no pharyngeal jaws, no fins; just flesh & bone (might be 25/04/2013)",
22/01/2012,13/11/2013,146,DIP,4,0.0259,,
26/01/2013,13/11/2013,188,CIC,1,0.6469,"pharyngeal jaws, fins, body shape looks HAP, no scales to confirm",
28/11/2012,13/11/2013,42,CLA,1,2.1494,"barbels, body & body shape",
28/11/2012,13/11/2013,42,CIC,1,0.4644,"pharyngeal jaws, not much body shape, no scales",
28/11/2012,13/11/2013,42,VEG,NA,0.5935,,
25/01/2013,13/11/2013,192,CIC,1,0.3381,"pharyngeal jaws, not much body shape, no fins",
14/12/2012,13/11/2013,73,UNID,1,1.1168,"flesh & bone, no fins, no body shape",
14/12/2012,13/11/2013,73,CIC,1,0.5175,"pharyngeal jaws, no real body shape, no fins",
28/11/2012,19/11/2013,54,HAP,1,1.4973,"pharyngeal jaws, ctenoid scales, body shape and fins",
28/11/2012,19/11/2013,54,DIP,1,0.0086,,
18/11/2012,19/11/2013,1171,NP,1,1.0622,"no pharyngeal jaws, not much body shape, long spines of dorsal fin, head shape typical of NP",
23/11/2012,19/11/2013,21,UNID,1,0.5243,"no pharyngeal jaws, not much body, no fins",
27/08/2012,19/11/2013,975,ODO,2,0.8581,"quite digested, but abdomen and heads intact",
27/08/2012,19/11/2013,975,MF,1,0.0452,,
27/08/2012,19/11/2013,975,UNID,1,0.3187,"flesh and bone, no pharyngeal jaws",
26/01/2013,19/11/2013,193,UNID,3,0.5338,"bodies in pieces, body shape unclear, no pharyngeal jaws, no useful fins",
17/11/2012,16/12/2013,922,UNID,1,0.4736,"no pharyngeal jaws, no fins, not much body shape (might have a NP shape)",
24/01/2013,16/12/2013,172,DIP,many,0.5122,one species (green),
23/01/2013,16/12/2013,167,DIP,many,0.3743,one species (green),
23/01/2013,16/12/2013,167,UNID,1,0.0656,mass of flesh and bone,
26/01/2012,16/12/2013,198,DIP,many,0.1077,,
26/01/2012,16/12/2013,198,HAP,1,0.4283,"pharyngeal jaw, ctenoid scales, body shape",
26/01/2012,16/12/2013,198,CIC,1,0.2395,"pharyngeal jaw, no scales, not much body shape",
26/01/2012,16/12/2013,198,UNID,1,0.0625,mass of flesh and bone,
17/11/2012,18/12/2013,917,CIC,1,0.428,mass of flesh and bone; pharyngeal jaw,
23/01/2013,18/12/2013,156,DIP,9,0.0433,2 species,
23/01/2013,18/12/2013,156,UNID,1,0.0534,flesh and bone,
27/08/2012,18/12/2013,976,UNID,1,0.0942,"visible head, but highly digested, mainly flesh and bone",
28/11/2012,18/12/2013,43,UNID,1,0.3989,"very digested, visible head, but not much body shape, no pharyngeal jaws",
28/11/2012,18/12/2013,43,HYM,1,0.0004,not very confident about that weight (probably les than the error margin),
23/01/2013,18/12/2013,155,DIP,many,0.2127,,
23/01/2013,18/12/2013,155,UNID,1,0.0647,"flesh and bone, no head, no fins",
17/11/2012,18/12/2013,920,UNID,1,3.5155,"flesh and bone, no pharyngeal jaw",
18/11/2012,18/12/2013,1174,HAP,1,0.7879,"pharyngeal jaws, ctenoid scales, body shape",
17/11/2012,18/12/2013,1151,DIP,4,0.0229,,
17/11/2012,18/12/2013,1151,UNID,1,0.3856,"no pharyngeal jaws, not much body shape, no fins",
17/12/2012,18/12/2013,86,DIP,many,0.0506,,
17/12/2012,18/12/2013,86,MF,1,0.0046,"one set of jaws, no body",
17/12/2012,18/12/2013,86,UNID,1,0.3274,"flesh and bone, no head, no fins, no body shape",
23/01/2013,18/12/2013,158,UNID,1,0.5023,bone and flesh,
24/11/2013,18/12/2013,36,CIC,1,0.5287,"pharygeal jaws, not much body shape, no scales",
18/11/2012,18/12/2013,1162,UNID,1,0.4385,just flesh and bone,
25/01/2013,20/01/2014,181,DIP,many,0.536,weight is probably a bit inaccurate as there were loose DIP in vial,
18/12/2012,20/01/2014,131,UNID,1,0.2173,"very digested, visible head, no body shape, no fins, no jaws",
24/01/2013,20/01/2014,169,DIP,many,0.4133,weight may be a bit inaccurate due to a few loose DIP,
25/01/2013,20/01/2014,183,DIP,many,0.2298,,
17/11/2012,20/01/2014,915,UNID,1,0.8212,"flesh & bone, no head, no fins, no jaws",
23/01/2013,20/01/2014,159,CIC,1,0.4787,"flesh & bone, pharyngeal jaws",
18/11/2012,20/01/2014,1160,UNID,1,1.3127,"flesh & bone, no head, no fins, no jaws, no shape",
19/12/2012,20/01/2014,135,UNID,1,0.0397,flesh & bone,
19/12/2012,20/01/2014,135,HAP,1,0.9071,"great condition, shape, pharyngeal jaws, ctenoid scales",
17/11/2012,20/01/2014,912,HAP,1,0.9729,"body shape, pharyngeal jaws, ctenoid scales, good condition",
23/01/2013,20/01/2014,161,DIP,many,0.1227,,
23/01/2013,20/01/2014,161,UNID,1,0.9164,flesh & bone,
29/11/2012,20/01/2014,65,UNID,1,0.1722,flesh & bone,
24/11/2012,28/02/2014,32,NP,1,1.5112,"body in 2 pieces, but clear NP fins & body shape, no pharyngeal jaws",
23/11/2012,28/02/2014,20,MF,1,0.0017,just the head,
23/11/2012,28/02/2014,20,CIC,1,0.2808,"mass of flesh & bone, pharyngeal jaws",
28/11/2012,28/02/2014,47,CIC,1,3.1631,"not much body shape, pharyngeal jaws",
17/11/2012,28/02/2014,925,UNID,1,0.5226,"just the head, not much body shape, no fins",
19/12/2012,28/02/2014,138,VEG,much,0.0049,,
19/12/2012,28/02/2014,138,UNID,1,0.1482,flesh & bone & scale,
24/01/2013,28/02/2014,170,DIP,many,1.2981,many & green,
25/01/2013,28/02/2014,187,DIP,many,0.3203,many & green,
25/01/2013,28/02/2014,187,UNID,1,0.1327,flesh & bone,
23/01/2013,28/02/2014,162,DIP,many,0.4313,green & many,
23/01/2013,28/02/2014,162,unknown,much,0.1886,"flesh (no bones), looks like worm? or leech?",
23/01/2013,28/02/2014,164,DIP,many,0.1289,many & green,
23/01/2013,28/02/2014,164,HAP,1,0.9954,"pharyngeal jaws, ctenoid scales, body shape",
28/11/2012,28/02/2014,50,CIC,1,1.3612,"pharyngeal jaws, body shape unsure, no visible fins, no scales",
